"","LogFC","logCPM","LR","PValue","padj","stat"
"ABCC9",-2.13114780272582,4.00321853662238,640.810158498018,2.22711361366525e-141,1.13636184006844e-139,"10060"
"ABCD2",-4.08840072815435,1.53130873760616,1374.8562898121,6.11288267138044e-301,2.06990543002039e-298,"225"
"ABCG2",-1.31186067977347,2.30732330858849,157.249596811062,4.51450331864139e-36,2.44232334584016e-35,"9429"
"ABHD11",1.19191353270618,5.83737425236487,189.878858636767,3.37888669238636e-43,2.26663812831447e-42,"83451"
"ABHD12B",2.56891128870595,0.484848230492593,44.6193955687179,2.393091926174e-11,4.79229524301968e-11,"145447"
"ABHD2",1.03767304827264,8.43613722152845,62.6672760841686,2.44748627249335e-15,5.87105103427442e-15,"11057"
"ABHD3",1.11150700018087,4.84034269274692,137.569092922048,9.05376359053564e-32,4.22991607824994e-31,"171586"
"ABHD6",-1.01774325681536,3.04190413032141,185.26311912966,3.43840496276835e-42,2.25181518858399e-41,"57406"
"ABI3BP",-1.91573944110225,4.92843421351068,243.822060440046,5.77234878948848e-55,5.48483575348143e-54,"25890"
"ABLIM1",-1.38881812371628,7.29873022240188,437.67695063731,3.46764234497196e-97,7.52029160083511e-96,"3983"
"ABLIM3",-1.48283803128044,5.37748088561085,170.558817526976,5.58619781227102e-39,3.29097513661629e-38,"22885"
"ABP1",4.45495864904436,1.9422408291006,161.224822419177,6.11006136628938e-37,3.39172147154789e-36,NA
"ACAA2",-1.06043959551116,6.01018454953922,303.07889325935,7.03064942780918e-68,9.17247336470482e-67,"10449"
"ACACB",-3.54500439387044,5.80809125502674,1500.96106713346,0,0,"32"
"ACADL",-3.18224204048911,0.912707394722957,211.810592886591,5.53163656202363e-48,4.28356825039449e-47,"33"
"ACADS",-1.76581702000224,4.85197340497299,522.641397141804,1.12686979747111e-115,3.37811531439075e-114,"35"
"ACAN",4.4332178041192,3.83397918594919,187.115588636689,1.3550661343516e-42,8.96497794658282e-42,"176"
"ACBD7",1.33697844968219,2.09424508733206,64.8422702279361,8.11397489924886e-16,1.99554493271556e-15,"414149"
"ACCN3",1.84709546542156,0.924304170128496,120.917488582551,3.98360445601452e-28,1.61765393268357e-27,NA
"ACCS",-1.00389058524636,3.31066998077128,190.669989186304,2.27032586859264e-43,1.52987721013847e-42,"84680"
"ACE2",2.02174138301135,2.1393269193743,25.4265679807309,4.59545510068336e-07,7.44618657369021e-07,"59272"
"ACO1",-1.80846919110504,6.01480595110539,993.771881556153,4.05544552205245e-218,5.20880024422926e-216,"48"
"ACOT11",1.02990736308903,1.59675646286788,52.4099417935629,4.50437850637655e-13,9.78148015835946e-13,"26027"
